Description,Qty,Total Amount,all_nan,Branch,Division,Group
CARAMEL FRAPP MEDIUM,4577.0,"1,217,771.78",False,Stories Zalka,COLD BAR SECTION,BLENDED BRINKS
CARAMEL FRAPP LARGE,1029.0,"321,538.74",False,Stories Zalka,COLD BAR SECTION,BLENDED BRINKS
COFFEE FRAPP LARGE,105.0,"26,599.40",False,Stories Zalka,COLD BAR SECTION,BLENDED BRINKS
MOCHA FRAPP SMALL,786.0,"163,516.22",False,Stories Zalka,COLD BAR SECTION,BLENDED BRINKS
MOCHA FRAPP MEDIUM,2638.0,"688,892.49",False,Stories Zalka,COLD BAR SECTION,BLENDED BRINKS
MOCHA FRAPP LARGE,458.0,"132,265.77",False,Stories Zalka,COLD BAR SECTION,BLENDED BRINKS
ESPRESSO FRAPP SMALL,249.0,"45,129.73",False,Stories Zalka,COLD BAR SECTION,BLENDED BRINKS
ESPRESSO FRAPP MEDIUM,638.0,"140,519.22",False,Stories Zalka,COLD BAR SECTION,BLENDED BRINKS
ESPRESSO FRAPP LARGE,148.0,"36,586.19",False,Stories Zalka,COLD BAR SECTION,BLENDED BRINKS
VANILLA CREAM FRAPP SMALL,305.0,"66,947.75",False,Stories Zalka,COLD BAR SECTION,BLENDED BRINKS
VANILLA CREAM FRAPP MEDIUM,558.0,"143,181.98",False,Stories Zalka,COLD BAR SECTION,BLENDED BRINKS
VANILLA CREAM FRAPP LARGE,111.0,"31,728.23",False,Stories Zalka,COLD BAR SECTION,BLENDED BRINKS
WHITE MOCHA FRAPP SMALL,160.0,"34,804.50",False,Stories Zalka,COLD BAR SECTION,BLENDED BRINKS
WHITE MOCHA FRAPP MEDIUM,565.0,"145,166.37",False,Stories Zalka,COLD BAR SECTION,BLENDED BRINKS
WHITE MOCHA FRAPP LARGE,135.0,"39,254.96",False,Stories Zalka,COLD BAR SECTION,BLENDED BRINKS
WHITE MOCHA CREAM FRAPP SMALL,53.0,"10,504.20",False,Stories Zalka,COLD BAR SECTION,BLENDED BRINKS
WHITE MOCHA CREAM FRAPP MEDIUM,176.0,"45,282.88",False,Stories Zalka,COLD BAR SECTION,BLENDED BRINKS
CHOCOLATE CREAM FRAPP MEDIUM,1882.0,"500,694.30",False,Stories Zalka,COLD BAR SECTION,BLENDED BRINKS
CHOCOLATE CREAM FRAPP LARGE,331.0,"94,964.57",False,Stories Zalka,COLD BAR SECTION,BLENDED BRINKS
WHITE MOCHA CREAM FRAPP LARGE,48.0,"13,895.80",False,Stories Zalka,COLD BAR SECTION,BLENDED BRINKS
CHOCOLATE CREAM FRAP SMALL,830.0,"182,685.59",False,Stories Zalka,COLD BAR SECTION,BLENDED BRINKS
CARAMEL CREAM  FRAPP MEDIUM,1160.0,"308,694.30",False,Stories Zalka,COLD BAR SECTION,BLENDED BRINKS
CARAMEL CREAM  FRAPP LARGE,200.0,"62,387.63",False,Stories Zalka,COLD BAR SECTION,BLENDED BRINKS
CARAMEL CREAM FRAPP SMALL,602.0,"123,693.99",False,Stories Zalka,COLD BAR SECTION,BLENDED BRINKS
MATCHA CREAM  FRAPP SMALL,174.0,"36,528.23",False,Stories Zalka,COLD BAR SECTION,BLENDED BRINKS
MATCHA CREAM FRAPP MEDIUM,448.0,"115,722.52",False,Stories Zalka,COLD BAR SECTION,BLENDED BRINKS
MATCHA CREAM FRAPP LARGE,160.0,"45,535.74",False,Stories Zalka,COLD BAR SECTION,BLENDED BRINKS
STRAWBERRY CREAM FRAPP SMALL,1548.0,"146,425.22",False,Stories Zalka,COLD BAR SECTION,BLENDED BRINKS
STRAWBERRY CREAM FRAPP MEDIUM,1528.0,"406,330.33",False,Stories Zalka,COLD BAR SECTION,BLENDED BRINKS
STRAWBERRY CREAM FRAPP LARGE,298.0,"85,663.36",False,Stories Zalka,COLD BAR SECTION,BLENDED BRINKS
VANILLA FRAP SMALL,199.0,"43,704.81",False,Stories Zalka,COLD BAR SECTION,BLENDED BRINKS
VANILLA FRAPP MEDIUM,491.0,"124,966.97",False,Stories Zalka,COLD BAR SECTION,BLENDED BRINKS
VANILLA FRAPP LARGE,95.0,"27,252.85",False,Stories Zalka,COLD BAR SECTION,BLENDED BRINKS
HAZELNUT FRAPP SMALL,41.0,"9,057.96",False,Stories Zalka,COLD BAR SECTION,BLENDED BRINKS
HAZELNUT FRAPP MEDIUM,122.0,"30,577.78",False,Stories Zalka,COLD BAR SECTION,BLENDED BRINKS
HAZELNUT FRAPP LARGE,21.0,"5,854.05",False,Stories Zalka,COLD BAR SECTION,BLENDED BRINKS
TOFFEENUT FRAP SMALL,25.0,"6,440.72",False,Stories Zalka,COLD BAR SECTION,BLENDED BRINKS
TOFFEENUT FRAP MEDIUM,90.0,"25,685.05",False,Stories Zalka,COLD BAR SECTION,BLENDED BRINKS
TOFFEENUT CREAM  FRAP SMALL,9.0,"2,300.48",False,Stories Zalka,COLD BAR SECTION,BLENDED BRINKS
TOFFEENUT CREAM  FRAP MEDIUM,37.0,"10,622.70",False,Stories Zalka,COLD BAR SECTION,BLENDED BRINKS
TOFFEENUT CREAM  FRAP LARGE,6.0,"1,900.90",False,Stories Zalka,COLD BAR SECTION,BLENDED BRINKS
TOFFEENUT FRAP LARGE,16.0,"5,201.20",False,Stories Zalka,COLD BAR SECTION,BLENDED BRINKS
SALTED CARAMEL FRAPPE SMALL,150.0,"30,508.77",False,Stories Zalka,COLD BAR SECTION,BLENDED BRINKS
SALTED CARAMEL CREAM FRAPPE SMALL,69.0,"15,649.37",False,Stories Zalka,COLD BAR SECTION,BLENDED BRINKS
SALTED CARAMEL CREAM FRAPPE MEDIUM,169.0,"47,512.61",False,Stories Zalka,COLD BAR SECTION,BLENDED BRINKS
SALTED CARAMEL CREAM FRAPPE LARGE,36.0,"11,471.47",False,Stories Zalka,COLD BAR SECTION,BLENDED BRINKS
SALTED CARAMEL FRAPPE MEDIUM,482.0,"133,384.51",False,Stories Zalka,COLD BAR SECTION,BLENDED BRINKS
SALTED CARAMEL FRAPPE LARGE,77.0,"23,783.78",False,Stories Zalka,COLD BAR SECTION,BLENDED BRINKS
STRAWBERRY SHAKE,20.0,"6,606.61",False,Stories Zalka,COLD BAR SECTION,BLENDED BRINKS
Total by Group: BLENDED BRINKS,26538.0,"6,505,316.48",False,Stories Zalka,COLD BAR SECTION,BLENDED BRINKS
ICED PEACH TEA  SMALL,1678.0,"70,920.72",False,Stories Zalka,COLD BAR SECTION,ICE TEA
ICED PEACH TEA  MEDIUM,1382.0,"341,076.28",False,Stories Zalka,COLD BAR SECTION,ICE TEA
ICED LEMON TEA  SMALL,6.0,0.00,False,Stories Zalka,COLD BAR SECTION,ICE TEA
ICED LEMON TEA  MEDIUM,23.0,"6,080.48",False,Stories Zalka,COLD BAR SECTION,ICE TEA
ICED RASPBERRY TEA  SMALL,27.0,"1,376.88",False,Stories Zalka,COLD BAR SECTION,ICE TEA
ICED RASPBERRY TEA  MEDIUM,20.0,"5,227.63",False,Stories Zalka,COLD BAR SECTION,ICE TEA
ICED LEMON TEA LARGE,5.0,"1,500.00",False,Stories Zalka,COLD BAR SECTION,ICE TEA
ICED PEACH TEA LARGE,401.0,"111,975.68",False,Stories Zalka,COLD BAR SECTION,ICE TEA
Total by Group: ICE TEA,3542.0,"538,157.66",False,Stories Zalka,COLD BAR SECTION,ICE TEA
ADD CARAMEL SMALL,1979.0,"59,989.19",False,Stories Zalka,COLD BAR SECTION,ADD SYRUP
ADD VANILLA SMALL,1830.0,"55,716.52",False,Stories Zalka,COLD BAR SECTION,ADD SYRUP
ADD HAZELNUT SMALL,465.0,"14,307.81",False,Stories Zalka,COLD BAR SECTION,ADD SYRUP
ADD CARAMEL MEDIUM,5264.0,"167,941.75",False,Stories Zalka,COLD BAR SECTION,ADD SYRUP
ADD VANILLA MEDIUM,4417.0,"140,458.26",False,Stories Zalka,COLD BAR SECTION,ADD SYRUP
ADD HAZELNUT MEDIUM,1077.0,"34,321.02",False,Stories Zalka,COLD BAR SECTION,ADD SYRUP
ADD SHOT,9242.0,"284,770.86",False,Stories Zalka,COLD BAR SECTION,ADD SYRUP
ADD WHIPPED CREAM,933.0,"29,986.79",False,Stories Zalka,COLD BAR SECTION,ADD SYRUP
ADD MOCHA SMALL,68.0,"1,797.30",False,Stories Zalka,COLD BAR SECTION,ADD SYRUP
ADD WHITE MOCHA SMALL,2127.0,"39,269.37",False,Stories Zalka,COLD BAR SECTION,ADD SYRUP
ADD CARAMEL DRIZZLE,741.0,"23,790.69",False,Stories Zalka,COLD BAR SECTION,ADD SYRUP
ADD CHOCOLATE DRIZZLE,524.0,"17,063.36",False,Stories Zalka,COLD BAR SECTION,ADD SYRUP
ADD CARAMEL LARGE,891.0,"28,616.52",False,Stories Zalka,COLD BAR SECTION,ADD SYRUP
ADD VANILLA LARGE,1450.0,"46,146.55",False,Stories Zalka,COLD BAR SECTION,ADD SYRUP
ADD HAZELNUT LARGE,202.0,"6,403.00",False,Stories Zalka,COLD BAR SECTION,ADD SYRUP
ADD CARAMEL SF MEDIUM,2498.0,"79,127.63",False,Stories Zalka,COLD BAR SECTION,ADD SYRUP
ADD CARAMEL SF LARGE,455.0,"14,373.57",False,Stories Zalka,COLD BAR SECTION,ADD SYRUP
ADD VANILLA SF SMALL,2178.0,"68,438.44",False,Stories Zalka,COLD BAR SECTION,ADD SYRUP
ADD VANILLA SF MEDIUM,5709.0,"179,765.48",False,Stories Zalka,COLD BAR SECTION,ADD SYRUP
ADD VANILLA SF LARGE,1132.0,"35,787.69",False,Stories Zalka,COLD BAR SECTION,ADD SYRUP
ADD CARAMEL SF SMALL,1092.0,"34,494.90",False,Stories Zalka,COLD BAR SECTION,ADD SYRUP
ADD YIRGACHEFFE SHOT,67.0,"2,337.84",False,Stories Zalka,COLD BAR SECTION,ADD SYRUP
REPLACE 1 SHOT YIRGACHEFFE,4607.0,"306,849.25",False,Stories Zalka,COLD BAR SECTION,ADD SYRUP
REPLACE 2 SHOT YIRGACHEFFE,284.0,"18,067.87",False,Stories Zalka,COLD BAR SECTION,ADD SYRUP
REPLACE 3 SHOT YIRGACHEFFE,107.0,"6,803.00",False,Stories Zalka,COLD BAR SECTION,ADD SYRUP
NO WHIPPED CREAM,57.0,0.00,False,Stories Zalka,COLD BAR SECTION,ADD SYRUP
ADD WHITE MOCHA MEDIUM,1623.0,"51,490.39",False,Stories Zalka,COLD BAR SECTION,ADD SYRUP
ADD WHITE MOCHA LARGE,419.0,"13,431.53",False,Stories Zalka,COLD BAR SECTION,ADD SYRUP
1 SHOT DECAFE,2129.0,0.00,False,Stories Zalka,COLD BAR SECTION,ADD SYRUP
2 SHOT DECAFE,4205.0,0.00,False,Stories Zalka,COLD BAR SECTION,ADD SYRUP
3 SHOT DECAFE,1140.0,0.00,False,Stories Zalka,COLD BAR SECTION,ADD SYRUP
ADD MOCHA LARGE,35.0,"1,113.81",False,Stories Zalka,COLD BAR SECTION,ADD SYRUP
ADD MOCHA MEDIUM,155.0,"4,945.35",False,Stories Zalka,COLD BAR SECTION,ADD SYRUP
STRAWBERRY DRIZZLE TOPPING,367.0,"11,803.90",False,Stories Zalka,COLD BAR SECTION,ADD SYRUP
ADD TOFFEE NUT SMALL,22.0,380.18,False,Stories Zalka,COLD BAR SECTION,ADD SYRUP
ADD TOFFEE NUT MEDIUM,9.0,290.09,False,Stories Zalka,COLD BAR SECTION,ADD SYRUP
ADD BANANA SAUCE SMALL,66.0,"2,200.00",False,Stories Zalka,COLD BAR SECTION,ADD SYRUP
ADD BANANA SAUCE MEDIUM,112.0,"3,733.33",False,Stories Zalka,COLD BAR SECTION,ADD SYRUP
ADD BANANA SAUCE LARGE,13.0,866.67,False,Stories Zalka,COLD BAR SECTION,ADD SYRUP
ADD RASPBERRY SAUCE SMALL,70.0,"2,333.33",False,Stories Zalka,COLD BAR SECTION,ADD SYRUP
ADD RASPBERRY SAUCE MEDIUM,90.0,"3,000.00",False,Stories Zalka,COLD BAR SECTION,ADD SYRUP
ADD RASPBERRY SAUCE LARGE,4.0,266.67,False,Stories Zalka,COLD BAR SECTION,ADD SYRUP
ADD MATCHA SMALL,1.0,45.05,False,Stories Zalka,COLD BAR SECTION,ADD SYRUP
ADD MATCHA MEDIUM,46.0,"2,486.49",False,Stories Zalka,COLD BAR SECTION,ADD SYRUP
ADD MATCHA LARGE,7.0,420.42,False,Stories Zalka,COLD BAR SECTION,ADD SYRUP
ADD PROTEIN POWDER,2.0,180.18,False,Stories Zalka,COLD BAR SECTION,ADD SYRUP
Total by Group: ADD SYRUP,59911.0,"1,795,612.06",False,Stories Zalka,COLD BAR SECTION,ADD SYRUP
REPLACE ALMOND SMALL,1408.0,"129,766.31",False,Stories Zalka,COLD BAR SECTION,REPLACE
REPLACE ALMOND MEDIUM,2742.5,"324,246.61",False,Stories Zalka,COLD BAR SECTION,REPLACE
REPLACE COCONUT SMALL,866.0,"78,085.59",False,Stories Zalka,COLD BAR SECTION,REPLACE
REPLACE COCONUT MEDIUM,1804.5,"170,617.42",False,Stories Zalka,COLD BAR SECTION,REPLACE
REPLACE SKIMMED MILK SMALL,4071.0,0.00,False,Stories Zalka,COLD BAR SECTION,REPLACE
REPLACE SKIMMED MILK MEDIUM,7789.0,0.00,False,Stories Zalka,COLD BAR SECTION,REPLACE
REPLACE LACTOSE FREE SMALL,2373.0,0.00,False,Stories Zalka,COLD BAR SECTION,REPLACE
REPLACE LACTOSE FREE MEDIUM,4295.0,0.00,False,Stories Zalka,COLD BAR SECTION,REPLACE
REPLACE SUGAR FREE OAT MEDIUM,621.0,"77,752.55",False,Stories Zalka,COLD BAR SECTION,REPLACE
REPLACE SUGAR FREE OAT SMALL,285.0,"26,854.96",False,Stories Zalka,COLD BAR SECTION,REPLACE
REPLACE SUGAR FREE SOYA SMALL,114.0,"10,854.96",False,Stories Zalka,COLD BAR SECTION,REPLACE
REPLACE SUGAR FREE SOYA MEDIUM,245.0,"31,266.07",False,Stories Zalka,COLD BAR SECTION,REPLACE
REPLACE SUGAR FREE ALMOND SMALL,115.0,"10,786.49",False,Stories Zalka,COLD BAR SECTION,REPLACE
REPLACE SUGAR FREE ALMOND MEDIUM,232.0,"28,819.22",False,Stories Zalka,COLD BAR SECTION,REPLACE
REPLACE ALMOND LARGE,360.5,"50,635.02",False,Stories Zalka,COLD BAR SECTION,REPLACE
REPLACE COCONUT LARGE,334.5,"32,284.81",False,Stories Zalka,COLD BAR SECTION,REPLACE
REPLACE LACTOSE FREE LARGE,628.5,0.00,False,Stories Zalka,COLD BAR SECTION,REPLACE
REPLACE SKIMMED MILK LARGE,1239.0,0.00,False,Stories Zalka,COLD BAR SECTION,REPLACE
REPLACE SUGAR FREE ALMOND LARGE,28.0,"4,385.89",False,Stories Zalka,COLD BAR SECTION,REPLACE
REPLACE SUGAR FREE OAT LARGE,103.5,"15,969.97",False,Stories Zalka,COLD BAR SECTION,REPLACE
REPLACE SUGAR FREE SOYA LARGE,26.0,"4,085.59",False,Stories Zalka,COLD BAR SECTION,REPLACE
ADD FULL FAT MILK,187.0,0.00,False,Stories Zalka,COLD BAR SECTION,REPLACE
ADD SKIMMED MILK,216.0,0.00,False,Stories Zalka,COLD BAR SECTION,REPLACE
Total by Group: REPLACE,30084.0,"996,411.42",False,Stories Zalka,COLD BAR SECTION,REPLACE
Total by Division: COLD BAR SECTION,179626.0,"23,892,637.32",False,Stories Zalka,COLD BAR SECTION,
WATER,100389.0,"3,779,247.95",False,Stories Zalka,GRAB&GO BEVERAGES,SOFT DRINKS
ORANGE JUICE,3666.0,"613,788.29",False,Stories Zalka,GRAB&GO BEVERAGES,SOFT DRINKS
LEMON JUICE,1121.0,"187,854.35",False,Stories Zalka,GRAB&GO BEVERAGES,SOFT DRINKS
MAWARDI JUICE,1058.0,"177,229.73",False,Stories Zalka,GRAB&GO BEVERAGES,SOFT DRINKS
APPLE JUICE,9.0,"1,507.51",False,Stories Zalka,GRAB&GO BEVERAGES,SOFT DRINKS
POMEGRANATE JUICE,855.0,"142,922.07",False,Stories Zalka,GRAB&GO BEVERAGES,SOFT DRINKS
SAN BENEDETTO CLEMENTINE 330ML/24,2991.0,"500,480.48",False,Stories Zalka,GRAB&GO BEVERAGES,SOFT DRINKS
SAN BENEDETTO GLASS 250ML/24,2114.0,"284,715.92",False,Stories Zalka,GRAB&GO BEVERAGES,SOFT DRINKS
SAN BENEDETTO LEMON 330ML/24,3000.0,"501,890.39",False,Stories Zalka,GRAB&GO BEVERAGES,SOFT DRINKS
RIM SPARKLING WATER-250 ML,4048.0,"270,242.89",False,Stories Zalka,GRAB&GO BEVERAGES,SOFT DRINKS
Total by Group: SOFT DRINKS,119251.0,"6,459,879.57",False,Stories Zalka,GRAB&GO BEVERAGES,SOFT DRINKS
Total by Division: GRAB&GO BEVERAGES,119251.0,"6,459,879.57",False,Stories Zalka,GRAB&GO BEVERAGES,
DOUBLE CHOCOLATE MUFFIN,1125.0,"223,920.72",False,Stories Zalka,COFFEE PASTRY,COFFEE PASTRY
ORANGE CAKE,505.0,"144,424.33",False,Stories Zalka,COFFEE PASTRY,COFFEE PASTRY
RED VELVET CAKE,508.0,"152,485.59",False,Stories Zalka,COFFEE PASTRY,COFFEE PASTRY
BROWNIES CAKE,1115.0,"178,830.33",False,Stories Zalka,COFFEE PASTRY,COFFEE PASTRY
LAZY CAKE,1906.0,"605,406.01",False,Stories Zalka,COFFEE PASTRY,COFFEE PASTRY
BLUEBERRY CHEESE CAKE,651.0,"236,798.80",False,Stories Zalka,COFFEE PASTRY,COFFEE PASTRY
FRAMBOISE CHEESE CAKE,438.0,"157,696.70",False,Stories Zalka,COFFEE PASTRY,COFFEE PASTRY
LOTUS CHEESE CAKE,605.0,"218,669.67",False,Stories Zalka,COFFEE PASTRY,COFFEE PASTRY
CHOCOLATE MUFFIN,40.0,"7,563.96",False,Stories Zalka,COFFEE PASTRY,COFFEE PASTRY
CARROT CAKE,341.0,"97,454.05",False,Stories Zalka,COFFEE PASTRY,COFFEE PASTRY
VANILLA MUFFIN,324.0,"62,738.74",False,Stories Zalka,COFFEE PASTRY,COFFEE PASTRY
BLUEBERRY MUFFIN,789.0,"157,183.78",False,Stories Zalka,COFFEE PASTRY,COFFEE PASTRY
APRICOT SABLE,553.0,"131,119.22",False,Stories Zalka,COFFEE PASTRY,COFFEE PASTRY
CHOCOLATE SABLE,1195.0,"282,728.83",False,Stories Zalka,COFFEE PASTRY,COFFEE PASTRY
RED VELVET MUFFIN_,73.0,"14,535.14",False,Stories Zalka,COFFEE PASTRY,COFFEE PASTRY
Total by Group: COFFEE PASTRY,10168.0,"2,671,555.87",False,Stories Zalka,COFFEE PASTRY,COFFEE PASTRY
Total by Division: COFFEE PASTRY,10168.0,"2,671,555.87",False,Stories Zalka,COFFEE PASTRY,
CHEESE CROISSANT,2889.0,"593,350.76",False,Stories Zalka,CROISSANT,CROISSANT
THYME CROISSANT,976.0,"184,774.77",False,Stories Zalka,CROISSANT,CROISSANT
PLAIN CROISSANT,411.0,"78,672.07",False,Stories Zalka,CROISSANT,CROISSANT
CHOCOLATE CROISSANT,2070.0,"425,782.59",False,Stories Zalka,CROISSANT,CROISSANT
OLIVE CROISSANT,57.0,"11,553.15",False,Stories Zalka,CROISSANT,CROISSANT
ALMOND CROISSANT,433.0,"92,488.89",False,Stories Zalka,CROISSANT,CROISSANT
Total by Group: CROISSANT,6836.0,"1,386,622.23",False,Stories Zalka,CROISSANT,CROISSANT
Total by Division: CROISSANT,6836.0,"1,386,622.23",False,Stories Zalka,CROISSANT,
NY STYLE COOKIE - CHOCOLATE CHIP WALNUT,640.0,"203,222.22",False,Stories Zalka,COOKIES,COOKIES
NY STYLE COOKIE - DOUBLE CHOCOLATE,199.0,"61,345.35",False,Stories Zalka,COOKIES,COOKIES
Total by Group: COOKIES,839.0,"264,567.57",False,Stories Zalka,COOKIES,COOKIES
Total by Division: COOKIES,839.0,"264,567.57",False,Stories Zalka,COOKIES,
FONDANT AU CHOCOLAT,884.0,"309,585.59",False,Stories Zalka,FRENCH PASTRY,FRENCH PASTRY
ECLAIR ORIGINAL,754.0,"189,710.81",False,Stories Zalka,FRENCH PASTRY,FRENCH PASTRY
ECLAIR CHOCOLAT,759.0,"192,207.21",False,Stories Zalka,FRENCH PASTRY,FRENCH PASTRY
TARTE AU CHOCOLAT,41.0,"11,044.14",False,Stories Zalka,FRENCH PASTRY,FRENCH PASTRY
CHRISTMAS ORIGINAL ECLAIR,239.0,"59,579.28",False,Stories Zalka,FRENCH PASTRY,FRENCH PASTRY
ECLAIR CARAMEL,437.0,"111,533.33",False,Stories Zalka,FRENCH PASTRY,FRENCH PASTRY
MACARONS,1945.0,"521,560.36",False,Stories Zalka,FRENCH PASTRY,FRENCH PASTRY
CHOCOLATE SALTED CAKE,412.0,"131,728.53",False,Stories Zalka,FRENCH PASTRY,FRENCH PASTRY
ECLAIR COFFEE,55.0,"14,864.87",False,Stories Zalka,FRENCH PASTRY,FRENCH PASTRY
CHRISTMAS PISTACHIO ECLAIR,23.0,"8,288.29",False,Stories Zalka,FRENCH PASTRY,FRENCH PASTRY
Total by Group: FRENCH PASTRY,5549.0,"1,550,102.41",False,Stories Zalka,FRENCH PASTRY,FRENCH PASTRY
Total by Division: FRENCH PASTRY,5549.0,"1,550,102.41",False,Stories Zalka,FRENCH PASTRY,
GUMMY BEARS COMBO,10703.0,0.00,False,Stories Zalka,FROZEN YOGHURT,COMBO TOPPINGS
GRANOLLA COMBO,9770.0,0.00,False,Stories Zalka,FROZEN YOGHURT,COMBO TOPPINGS
WAFER ROLL COMBO,10627.0,0.00,False,Stories Zalka,FROZEN YOGHURT,COMBO TOPPINGS
MARSHMALLOW COMBO,10990.0,0.00,False,Stories Zalka,FROZEN YOGHURT,COMBO TOPPINGS
BROWNIES COMBO,8094.0,0.00,False,Stories Zalka,FROZEN YOGHURT,COMBO TOPPINGS
LOTUS BISCUIT COMBO,12513.0,0.00,False,Stories Zalka,FROZEN YOGHURT,COMBO TOPPINGS
CHOCOLATE CHIPS COMBO,12271.5,0.00,False,Stories Zalka,FROZEN YOGHURT,COMBO TOPPINGS
OREO COMBO,11136.0,0.00,False,Stories Zalka,FROZEN YOGHURT,COMBO TOPPINGS
SPRINKLES COMBO,3828.0,0.00,False,Stories Zalka,FROZEN YOGHURT,COMBO TOPPINGS
MIXED NUTS COMBO,7908.0,0.00,False,Stories Zalka,FROZEN YOGHURT,COMBO TOPPINGS
OATS COMBO,889.0,0.00,False,Stories Zalka,FROZEN YOGHURT,COMBO TOPPINGS
STRAWBERRY COMBO,44253.5,0.00,False,Stories Zalka,FROZEN YOGHURT,COMBO TOPPINGS
PINEAPPLE COMBO,18295.0,0.00,False,Stories Zalka,FROZEN YOGHURT,COMBO TOPPINGS
MANGO COMBO,28629.5,0.00,False,Stories Zalka,FROZEN YOGHURT,COMBO TOPPINGS
HONEY COMBO,189.0,0.00,False,Stories Zalka,FROZEN YOGHURT,COMBO TOPPINGS
BLUEBERRIES COMBO,34890.5,0.00,False,Stories Zalka,FROZEN YOGHURT,COMBO TOPPINGS
Total by Group: COMBO TOPPINGS,224987.0,0.00,False,Stories Zalka,FROZEN YOGHURT,COMBO TOPPINGS
GRANOLLA,190.0,"12,039.04",False,Stories Zalka,FROZEN YOGHURT,TOPPINGS
WAFER ROLL,139.0,"8,870.27",False,Stories Zalka,FROZEN YOGHURT,TOPPINGS
MARSHMALLOW,404.0,"25,433.63",False,Stories Zalka,FROZEN YOGHURT,TOPPINGS
BROWNIES,94.0,"6,048.65",False,Stories Zalka,FROZEN YOGHURT,TOPPINGS
LOTUS BISCUITS,381.0,"24,686.49",False,Stories Zalka,FROZEN YOGHURT,TOPPINGS
OREO,466.0,"29,672.67",False,Stories Zalka,FROZEN YOGHURT,TOPPINGS
SPRINKLES,80.0,"5,148.35",False,Stories Zalka,FROZEN YOGHURT,TOPPINGS
OATS,32.0,"2,093.69",False,Stories Zalka,FROZEN YOGHURT,TOPPINGS
CHOCOLATE CHIPS,763.0,"52,212.61",False,Stories Zalka,FROZEN YOGHURT,TOPPINGS
MIXED NUTS,420.0,"27,121.32",False,Stories Zalka,FROZEN YOGHURT,TOPPINGS
GUMMY BEARS,235.0,"15,204.20",False,Stories Zalka,FROZEN YOGHURT,TOPPINGS
STRAWBERRY,1286.0,"88,263.06",False,Stories Zalka,FROZEN YOGHURT,TOPPINGS
PINEAPPLE,792.0,"51,587.39",False,Stories Zalka,FROZEN YOGHURT,TOPPINGS
MANGO,1070.0,"73,354.96",False,Stories Zalka,FROZEN YOGHURT,TOPPINGS
HONEY,980.0,"68,225.23",False,Stories Zalka,FROZEN YOGHURT,TOPPINGS
BLUEBERRIES,983.5,"67,926.13",False,Stories Zalka,FROZEN YOGHURT,TOPPINGS
Total by Group: TOPPINGS,8315.5,"557,887.69",False,Stories Zalka,FROZEN YOGHURT,TOPPINGS
PISTACHIO CRUNCH,3890.0,"391,916.66",False,Stories Zalka,FROZEN YOGHURT,LUXURY TOPPINGS
CHOCOLATE QUELLA CRUNCH,653.0,"66,508.71",False,Stories Zalka,FROZEN YOGHURT,LUXURY TOPPINGS
CHOCOLATE CRUNCH,2771.0,"279,182.13",False,Stories Zalka,FROZEN YOGHURT,LUXURY TOPPINGS
VARIEGATO WAFER,371.0,"37,090.09",False,Stories Zalka,FROZEN YOGHURT,LUXURY TOPPINGS
CHOCOLATE QUELLA,2587.0,"260,274.47",False,Stories Zalka,FROZEN YOGHURT,LUXURY TOPPINGS
QUELLA PISTACCIO,317.0,"31,731.53",False,Stories Zalka,FROZEN YOGHURT,LUXURY TOPPINGS
CRUMBOLE RED BERRIES,139.0,"13,902.10",False,Stories Zalka,FROZEN YOGHURT,LUXURY TOPPINGS
CRUMBOLE PISTACHIO,332.0,"33,210.51",False,Stories Zalka,FROZEN YOGHURT,LUXURY TOPPINGS
ARABESCHI COCCO SNAK,102.0,"9,238.74",False,Stories Zalka,FROZEN YOGHURT,LUXURY TOPPINGS
CRUMBLE LEMON,13.0,"1,318.92",False,Stories Zalka,FROZEN YOGHURT,LUXURY TOPPINGS
NUTELLA,117.0,"10,540.54",False,Stories Zalka,FROZEN YOGHURT,LUXURY TOPPINGS
Total by Group: LUXURY TOPPINGS,11292.0,"1,134,914.41",False,Stories Zalka,FROZEN YOGHURT,LUXURY TOPPINGS
ORIGINAL YOGHURT SMALL,115.0,"34,136.94",False,Stories Zalka,FROZEN YOGHURT,FROZEN YOGHURT
ORIGINAL YOGHURT MEDIUM,48.0,"15,867.42",False,Stories Zalka,FROZEN YOGHURT,FROZEN YOGHURT
ORIGINAL YOGHURT X-LARGE,8.5,"3,900.90",False,Stories Zalka,FROZEN YOGHURT,FROZEN YOGHURT
ORIGINAL YOGHURT COMBO SMALL,11085.2,"3,731,431.53",False,Stories Zalka,FROZEN YOGHURT,FROZEN YOGHURT
ORIGINAL YOGHURT COMBO MEDIUM,5133.75,"2,017,585.29",False,Stories Zalka,FROZEN YOGHURT,FROZEN YOGHURT
ORIGINAL YOGHURT COMBO X-LARGE,378.0,"196,848.65",False,Stories Zalka,FROZEN YOGHURT,FROZEN YOGHURT
CHOCOLATE YOGHURT SMALL,112.7,"33,427.63",False,Stories Zalka,FROZEN YOGHURT,FROZEN YOGHURT
CHOCOLATE YOGHURT MEDIUM,45.5,"15,000.75",False,Stories Zalka,FROZEN YOGHURT,FROZEN YOGHURT
CHOCOLATE YOGHURT X-LARGE,12.0,"5,478.38",False,Stories Zalka,FROZEN YOGHURT,FROZEN YOGHURT
CHOCOLATE YOGHURT COMBO SMALL,9287.9,"3,047,917.03",False,Stories Zalka,FROZEN YOGHURT,FROZEN YOGHURT
